,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mahebourg,-44.17913751619223,82.51393948677145,78.8,61,40,11.41,MU,1602999113
1,carnarvon,-23.92963028678463,94.86133845180939,77,65,90,20.8,AU,1602999113
2,punta arenas,-85.06338900364076,-103.11509404076405,41,86,72,8.05,CL,1602999113
3,nizwa,22.076829519994988,56.13537968680984,88.34,9,16,1.03,OM,1602999114
5,viedma,-43.82350749936855,-61.26247866885406,75.6,30,0,14.52,AR,1602998818
7,tabou,0.6517867450073282,-6.042789872668379,75.99,91,63,6.35,CI,1602999114
8,moose factory,53.48028574071253,-78.60421079683823,33.8,86,90,6.93,CA,1602999115
9,chokurdakh,79.49174748888498,146.97397450615864,22.55,98,98,6.38,RU,1602999115
10,ushuaia,-66.40840127612115,-33.032935822542385,41,86,75,5.82,AR,1602999115
11,manteca,37.745328456001985,-121.23988933929286,72.43,52,1,3.36,US,1602999090
12,upernavik,74.84144735092025,-58.88412075713748,35.35,91,100,20.8,GL,1602999115
13,floro,61.56929310488309,3.052147058530835,42.8,65,27,11.41,NO,1602999116
14,agadez,16.908635020301745,9.61609775184175,77.95,18,0,3.91,NE,1602999116
15,pevek,75.28744881691588,166.572552039725,27.55,96,97,17.13,RU,1602999116
16,ayan,55.49644766236898,137.96837502457134,32.02,82,100,11.48,RU,1602999116
17,jamestown,-25.171628351380434,-0.15346559921431435,43.2,56,1,6.93,US,1602999117
18,busselton,-85.95938767392511,76.476517931221,79.21,29,0,4.25,AU,1602999117
19,dukat,64.51785570497066,154.99198320066262,23.61,82,43,5.57,RU,1602999117
20,vaini,-58.142112309700565,-178.19895500739878,73.4,83,40,14.99,TO,1602999118
21,sorong,0.42412624213018546,131.76941513342342,85.05,66,100,12.3,ID,1602999118
22,rosetta,33.490996035265965,30.53655473938167,64.4,93,0,4.99,EG,1602999118
23,sao gabriel da cachoeira,0.3350670422984905,-67.06055127899761,74.19,88,10,1.05,BR,1602999118
24,westport,-39.24650189844168,168.6957427607532,39.31,81,1,4.7,US,1602999064
25,lazaro cardenas,-1.317405070746105,-112.1316241414924,78.58,87,98,3.78,MX,1602999119
